year,slope,n_nta
2016,-0.4121293317998357,40
2017,-0.5718647963659766,73
2018,-2.1923097050223253,90
2019,-0.7017416217316861,96
2020,-1.6806777660512662,60
2021,-0.6511242692079396,131
2022,-0.14624102588631568,211
2023,-0.27317056923748195,213
2024,-0.37413526633648975,219
2025,-0.44689238905016154,213
2026,-0.11330629894101464,202
